Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_1961373,Café,2.0,2.0,4.0,Cartão de Crédito,Para Viagem,2023-09-08
TXN_4977031,Bolo,4.0,3.0,12.0,Dinheiro,Na Loja,2023-05-16
TXN_4271903,Biscoito,4.0,1.0,4.0,Cartão de Crédito,Na Loja,2023-07-19
TXN_7034554,Salada,2.0,5.0,10.0,Não Informado,Não Informado,2023-04-27
TXN_3160411,Café,2.0,2.0,4.0,Carteira Digital,Na Loja,2023-06-11
TXN_2602893,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Não Informado,2023-03-31
TXN_4433211,Não Informado,3.0,3.0,9.0,Não Informado,Para Viagem,2023-10-06
TXN_6699534,Sanduíche,4.0,4.0,16.0,Dinheiro,Não Informado,2023-10-28
TXN_4717867,Não Informado,5.0,3.0,15.0,Não Informado,Para Viagem,2023-07-28
TXN_2064365,Sanduíche,5.0,4.0,20.0,Não Informado,Na Loja,2023-12-31
TXN_2548360,Salada,5.0,5.0,25.0,Dinheiro,Para Viagem,2023-11-07
TXN_3051279,Sanduíche,2.0,4.0,8.0,Cartão de Crédito,Para Viagem,
TXN_7619095,Sanduíche,2.0,4.0,8.0,Dinheiro,Na Loja,2023-05-03
TXN_9437049,Biscoito,5.0,1.0,5.0,Não Informado,Para Viagem,2023-06-01
TXN_8915701,Não Informado,2.0,1.5,3.0,Não Informado,Na Loja,2023-03-21
TXN_2847255,Salada,3.0,5.0,15.0,Cartão de Crédito,Na Loja,2023-11-15
TXN_3765707,Sanduíche,1.0,4.0,4.0,Não Informado,Não Informado,2023-06-10
TXN_6769710,Suco,2.0,3.0,6.0,Dinheiro,Na Loja,2023-02-24
TXN_8876618,Bolo,5.0,3.0,15.0,Dinheiro,Não Informado,2023-03-25
TXN_3709394,Suco,4.0,3.0,12.0,Dinheiro,Para Viagem,2023-01-15
TXN_3522028,Vitamina,5.0,4.0,20.0,Dinheiro,Na Loja,2023-04-04
TXN_3567645,Vitamina,4.0,4.0,16.0,Cartão de Crédito,Para Viagem,2023-03-30
TXN_5132361,Sanduíche,3.0,4.0,12.0,Carteira Digital,Para Viagem,2023-12-01
TXN_2616390,Sanduíche,2.0,4.0,8.0,Não Informado,Não Informado,2023-09-18
TXN_9400181,Sanduíche,5.0,4.0,20.0,Dinheiro,Na Loja,2023-06-03
TXN_7958992,Vitamina,3.0,4.0,12.0,Não Informado,Não Informado,2023-12-13
TXN_5183041,Biscoito,5.0,1.0,5.0,Cartão de Crédito,Na Loja,2023-04-20
TXN_5695074,Suco,4.0,3.0,12.0,Cartão de Crédito,Para Viagem,2023-04-10
TXN_8467949,Vitamina,5.0,4.0,20.0,Cartão de Crédito,Não Informado,2023-03-11
TXN_7640952,Bolo,4.0,3.0,12.0,Carteira Digital,Para Viagem,
TXN_1736287,Não Informado,5.0,2.0,10.0,Carteira Digital,Não Informado,2023-06-02
TXN_8927252,Não Informado,2.0,1.0,2.0,Cartão de Crédito,Não Informado,2023-11-06
TXN_9677376,Vitamina,4.0,4.0,16.0,Não Informado,Na Loja,2023-08-15
TXN_7710508,Não Informado,5.0,1.0,5.0,Dinheiro,Não Informado,
TXN_8853997,Vitamina,2.0,4.0,8.0,Carteira Digital,Para Viagem,2023-10-09
TXN_9130559,Sanduíche,1.0,4.0,4.0,Cartão de Crédito,Não Informado,2023-05-28
TXN_6855453,Não Informado,4.0,3.0,12.0,Não Informado,Na Loja,2023-07-17
TXN_1080432,Salada,2.0,5.0,10.0,Cartão de Crédito,Na Loja,2023-04-29
TXN_2655815,Vitamina,4.0,4.0,16.0,Não Informado,Para Viagem,2023-06-08
TXN_6688524,Café,4.0,2.0,8.0,Não Informado,Não Informado,2023-06-29
TXN_2083138,Vitamina,3.0,4.0,12.0,Não Informado,Na Loja,2023-04-17
TXN_2427584,Sanduíche,4.0,4.0,16.0,Não Informado,Para Viagem,2023-12-22
TXN_6650263,Chá,2.0,1.5,3.0,Não Informado,Para Viagem,2023-01-10
TXN_9620080,Suco,4.0,3.0,12.0,Não Informado,Para Viagem,2023-10-02
TXN_1491578,Biscoito,2.0,1.0,2.0,Não Informado,Não Informado,2023-02-23
TXN_5455792,Salada,3.0,5.0,15.0,Dinheiro,Não Informado,2023-03-22
TXN_8078640,Suco,4.0,3.0,12.0,Carteira Digital,Na Loja,2023-11-03
TXN_9499313,Suco,5.0,3.0,15.0,Não Informado,Não Informado,2023-03-02
TXN_8201146,Suco,5.0,3.0,15.0,Dinheiro,Não Informado,2023-06-26
TXN_8230936,Bolo,3.0,3.0,9.0,Não Informado,Não Informado,2023-05-02
TXN_7742742,Bolo,5.0,3.0,15.0,Não Informado,Para Viagem,2023-09-05
TXN_6342161,Salada,5.0,5.0,25.0,Não Informado,Para Viagem,2023-01-08
TXN_8914892,Não Informado,5.0,5.0,25.0,Carteira Digital,Não Informado,2023-03-15
TXN_3363746,Vitamina,3.0,4.0,12.0,Cartão de Crédito,Não Informado,2023-11-25
TXN_8614868,Vitamina,5.0,4.0,20.0,Carteira Digital,Para Viagem,2023-12-05
TXN_5522862,Biscoito,2.0,1.0,2.0,Cartão de Crédito,Para Viagem,2023-03-19
TXN_3578141,Bolo,5.0,3.0,15.0,Não Informado,Para Viagem,2023-06-27
TXN_2080895,Bolo,1.0,3.0,3.0,Carteira Digital,Na Loja,2023-04-19
TXN_6421134,Sanduíche,4.0,4.0,16.0,Dinheiro,Para Viagem,2023-11-03
TXN_8813311,Suco,5.0,3.0,15.0,Não Informado,Na Loja,2023-10-07
TXN_9023317,Salada,1.0,5.0,5.0,Não Informado,Não Informado,2023-09-30
TXN_8051289,Não Informado,1.0,3.0,3.0,Não Informado,Na Loja,2023-10-09
TXN_2537617,Sanduíche,1.0,4.0,4.0,Dinheiro,Não Informado,2023-05-27
TXN_9099694,Não Informado,3.0,5.0,15.0,Não Informado,Para Viagem,2023-11-18
TXN_9230615,Vitamina,4.0,4.0,16.0,Carteira Digital,Não Informado,2023-06-01
TXN_4987129,Sanduíche,3.0,,,Não Informado,Na Loja,2023-10-20
TXN_8501819,Suco,2.0,3.0,6.0,Dinheiro,Não Informado,2023-03-30
TXN_3068204,Biscoito,1.0,1.0,1.0,Cartão de Crédito,Para Viagem,2023-10-03
TXN_8427104,Salada,2.0,5.0,10.0,Não Informado,Na Loja,2023-10-27
TXN_8471743,Não Informado,5.0,3.0,15.0,Carteira Digital,Na Loja,2023-04-06
TXN_2621580,Chá,2.0,1.5,3.0,Dinheiro,Na Loja,2023-03-22
TXN_4726376,Bolo,2.0,3.0,6.0,Cartão de Crédito,Na Loja,2023-01-31
TXN_6044979,Não Informado,1.0,1.0,1.0,Dinheiro,Na Loja,2023-12-08
TXN_4238417,Salada,2.0,5.0,10.0,Não Informado,Não Informado,2023-06-19
TXN_1900620,Vitamina,2.0,4.0,8.0,Cartão de Crédito,Não Informado,2023-12-14
TXN_6420335,Café,1.0,2.0,2.0,Dinheiro,Para Viagem,2023-07-16
TXN_3858209,Sanduíche,4.0,4.0,16.0,Dinheiro,Não Informado,2023-02-22
TXN_2091733,Salada,1.0,5.0,5.0,Não Informado,Na Loja,
TXN_8735480,Chá,5.0,1.5,7.5,Dinheiro,Não Informado,2023-06-02
TXN_3829165,Suco,4.0,3.0,12.0,Dinheiro,Na Loja,2023-06-15
TXN_3748616,Café,2.0,2.0,4.0,Cartão de Crédito,Na Loja,2023-12-09
TXN_1993289,Sanduíche,2.0,4.0,8.0,Não Informado,Na Loja,2023-04-18
TXN_2123367,Biscoito,2.0,1.0,2.0,Não Informado,Não Informado,2023-11-07
TXN_5266394,Bolo,3.0,3.0,9.0,Dinheiro,Na Loja,2023-10-28
TXN_5107946,Bolo,4.0,3.0,12.0,Cartão de Crédito,Não Informado,2023-12-22
TXN_8035512,Chá,3.0,1.5,4.5,Dinheiro,Não Informado,2023-10-29
TXN_8718498,Bolo,5.0,3.0,15.0,Cartão de Crédito,Não Informado,2023-04-30
TXN_3955361,Biscoito,5.0,1.0,5.0,Não Informado,Para Viagem,2023-04-02
TXN_9487821,Não Informado,1.0,5.0,5.0,Carteira Digital,Para Viagem,2023-05-24
TXN_4132730,Não Informado,5.0,1.0,5.0,Não Informado,Na Loja,2023-03-12
TXN_8976658,Chá,2.0,1.5,3.0,Cartão de Crédito,Na Loja,2023-08-16
TXN_5455936,Não Informado,5.0,3.0,15.0,Não Informado,Na Loja,2023-10-28
TXN_2725602,Suco,5.0,3.0,15.0,Cartão de Crédito,Não Informado,2023-09-10
TXN_3011323,Café,3.0,2.0,6.0,Cartão de Crédito,Não Informado,2023-03-07
TXN_6289610,Suco,3.0,3.0,9.0,Dinheiro,Para Viagem,2023-08-07
TXN_8268061,Salada,3.0,5.0,15.0,Não Informado,Para Viagem,2023-08-20
TXN_5220895,Salada,5.0,5.0,25.0,Dinheiro,Na Loja,2023-06-10
TXN_3085509,Café,4.0,2.0,8.0,Carteira Digital,Na Loja,2023-04-15
